Description,Total Spent
biedronka,-2571.4500000000003
kaufland,-568.59
żabka,-433.67
mcdonald's,-252.6
sindbad kebab,-231.0
orlen,-227.32
rossmann,-149.73
stacja paliw moya,-149.13
restauracja legenda,-144.0
kfc,-140.93
pasaz 2 kiosk pasibus,-119.03
smoke shop,-97.4
burger king,-77.72
duży ben,-74.53999999999999
szary zajac,-61.0
action,-56.79
uber eats,-56.04
kogel mogel,-56.0
pizzeria ferrari,-55.0
express oriental,-54.72
mm sklep monopolowo sp,-53.1
circle k gas station,-53.07
e.leclerc,-52.42
sushi fresh aleja bielany,-44.9
bar mleczny miś,-43.29
alona zhosan,-41.3
la vida lokal,-41.0
gastro-smak,-35.0
sweet factory,-34.47
piekarnia wygorzele,-32.3
bluntland - świdnica,-29.99
h j promotions hubert,-26.0
card delivery,-25.99
bialy nalew,-24.8
berlin doner kebap,-22.9
pan precel,-22.5
pizza nel parco,-22.0
ikea,-21.0
cukiernia izabela,-20.4
mania al taglio,-19.8
pasibus,-19.27
tradycja & jakość,-19.16
dealz,-18.0
fuga mundi snooker & billiards club,-18.0
amrest,-17.98
ukrainoczka,-17.5
card design customisation,-16.99
netto,-16.37
max burgers,-15.25
podziemne miasto osówka,-14.0
czupito,-14.0
carrefour,-12.95
sklep ogólnospożywczy,-12.66
piekarnia hert,-11.49
p.h.u. rob al,-10.0
fc caffe,-10.0
bp,-9.99
dts vending - automaty sprzedające,-8.8
lombardczyk,-8.0
m. gancarz,-7.6
delikatesy centrum,-7.35
kolporter,-6.99
dino,-6.99
best-market.pl,-6.6
gorace precle,-5.0
ciamar celina łasocha i leszek łasocha,-4.5
sklep spożywczo przemysłowy dariusz gajdzis,-3.8
aldi,-3.79
eurospar,-3.39
mania al taglio sp. zo,-2.0
spozywczak,-1.8
